PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinitis,Milwaukee Bucks,MIL@PHI,10/23/2024
"Middleton, Khris",Out,Injury/Illness - Bilateral Ankle; Surgery,Milwaukee Bucks,MIL@PHI,10/23/2024
"Embiid, Joel",Out,Injury/Illness - Left Knee; Injury Management,Philadelphia 76ers,MIL@PHI,10/23/2024
"George, Paul",Out,Injury/Illness - Left Knee; Bone Bruise,Philadelphia 76ers,MIL@PHI,10/23/2024
"Richardson, Josh",Out,Injury/Illness - Left Heel; Enthesopathy,Miami Heat,ORL@MIA,10/23/2024
"Green, Josh",Questionable,Injury/Illness - Left Achilles; Soreness,Charlotte Hornets,CHA@HOU,10/23/2024
"Jeffries, DaQuan",Out,Injury/Illness - Right Hand; Fracture,Charlotte Hornets,CHA@HOU,10/23/2024
"Williams, Mark",Out,Injury/Illness - Left Foot; Tendon Strain,Charlotte Hornets,CHA@HOU,10/23/2024
"Adams, Steven",Questionable,Recovery; Left Calf Strain,Houston Rockets,CHA@HOU,10/23/2024
"Ball, Lonzo",Available,Injury/Illness - Left Knee; Surgery; Injury Management,Chicago Bulls,CHI@NOP,10/23/2024
"Terry, Dalen",Available,Injury/Illness - Left Patella Tendon; Tendonitis,Chicago Bulls,CHI@NOP,10/23/2024
"Alvarado, Jose",Questionable,Injury/Illness - Right Knee; Contusion,New Orleans Pelicans,CHI@NOP,10/23/2024
"Murphy III, Trey",Out,Injury/Illness - Right Hamstring; Strain,New Orleans Pelicans,CHI@NOP,10/23/2024
"Murray, Dejounte",Questionable,Personal Reasons,New Orleans Pelicans,CHI@NOP,10/23/2024
"Williamson, Zion",Questionable,Injury/Illness - Non-COVID; Illness,New Orleans Pelicans,CHI@NOP,10/23/2024
"Jackson Jr., Jaren",Out,Injury/Illness - Left Hamstring; Strain,Memphis Grizzlies,MEM@UTA,10/23/2024
"Jackson, GG",Out,Injury/Illness - Right Fifth Metatarsal; Repair,Memphis Grizzlies,MEM@UTA,10/23/2024
"Kennard, Luke",Out,Injury/Illness - Left Foot; Muscle Strain,Memphis Grizzlies,MEM@UTA,10/23/2024
"Spencer, Cam",Out,Injury/Illness - Right Ankle; Sprain,Memphis Grizzlies,MEM@UTA,10/23/2024
"Williams Jr., Vince",Out,Injury/Illness - Left Tibial; Stress Reaction,Memphis Grizzlies,MEM@UTA,10/23/2024
"Collier, Isaiah",Out,Injury/Illness - Right Hamstring; Strain,Utah Jazz,MEM@UTA,10/23/2024
"Juzang, Johnny",Out,Injury/Illness - Right Thumb; Sprain,Utah Jazz,MEM@UTA,10/23/2024
"Sharpe, Shaedon",Out,Tear,Portland Trail Blazers,GSW@POR,10/23/2024
"Thybulle, Matisse",Out,Injury/Illness - Right Knee; Inflammation,Portland Trail Blazers,GSW@POR,10/23/2024
"Williams III, Robert",Out,Injury/Illness - Left Hamstring; Strain,Portland Trail Blazers,GSW@POR,10/23/2024
"Allen, Grayson",Probable,Injury/Illness - Right Achilles; Soreness,Phoenix Suns,PHX@LAC,10/23/2024
"Lee, Damion",Probable,Injury/Illness - Left Hamstring; Soreness,Phoenix Suns,PHX@LAC,10/23/2024
"Okogie, Josh",Out,Injury/Illness - Right Hamstring; Strain,Phoenix Suns,PHX@LAC,10/23/2024
"Bamba, Mo",Out,Injury/Illness - Left Knee; Soreness,LA Clippers,PHX@LAC,10/23/2024
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; Injury Recovery,LA Clippers,PHX@LAC,10/23/2024
"Tucker, P.J.",Out,Not With Team,LA Clippers,PHX@LAC,10/23/2024
"Hauser, Sam",Questionable,Injury/Illness - Low Back; Pain,Boston Celtics,BOS@WAS,10/24/2024
"Porzingis, Kristaps",Out,Injury/Illness - Left Posterior Tibialis Tendon; Surgery Rehabilitation,Boston Celtics,BOS@WAS,10/24/2024
"Bey, Saddiq",Out,Injury/Illness - Left Knee; ACL Surgery,Washington Wizards,BOS@WAS,10/24/2024
"Brogdon, Malcolm",Out,Injury/Illness - Right Hand; Thumb Surgery,Washington Wizards,BOS@WAS,10/24/2024
"Vassell, Devin",Out,Injury/Illness - Right Third Metatarsal Head; Stress Reaction Surgery,San Antonio Spurs,SAS@DAL,10/24/2024
"Edwards, Kessler",Out,G League - Two-Way,Dallas Mavericks,SAS@DAL,10/24/2024
"Exum, Dante",Out,Injury/Illness - Right Wrist; Surgery,Dallas Mavericks,SAS@DAL,10/24/2024
"Williams, Brandon",Out,G League - Two-Way,Dallas Mavericks,SAS@DAL,10/24/2024
"Carter, Devin",Out,Injury/Illness - Left Shoulder; Surgery,Sacramento Kings,MIN@SAC,10/24/2024
"Robinson, Orlando",Out,Injury/Illness - Left MCL; Sprain,Sacramento Kings,MIN@SAC,10/24/2024
"Hartenstein, Isaiah",Out,Injury/Illness - Left Hand; Fracture,Oklahoma City Thunder,OKC@DEN,10/24/2024
"Topic, Nikola",Out,Injury/Illness - Left Knee; Surgery,Oklahoma City Thunder,OKC@DEN,10/24/2024
"Williams, Jaylin",Out,Injury/Illness - Right Hamstring; Strain,Oklahoma City Thunder,OKC@DEN,10/24/2024
"Williams, Kenrich",Out,Injury/Illness - Right Knee; Surgery,Oklahoma City Thunder,OKC@DEN,10/24/2024
"Holmes II, DaRon",Out,Injury/Illness - Right Achilles Tendon;,Denver Nuggets,OKC@DEN,10/24/2024
"Bogdanovic, Bojan",Out,Injury/Illness - Left Foot; Injury Recovery,Brooklyn Nets,BKN@ORL,10/25/2024
"Sharpe, Day'Ron",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@ORL,10/25/2024
"Watford, Trendon",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@ORL,10/25/2024
"Isaac, Jonathan",Questionable,Injury/Illness - Left Hip; Contusion,Orlando Magic,BKN@ORL,10/25/2024
"McClung, Mac",Questionable,G League - Two-Way,Orlando Magic,BKN@ORL,10/25/2024
"Queen, Trevelin",Questionable,G League - Two-Way,Orlando Magic,BKN@ORL,10/25/2024
"Embiid, Joel",Out,Injury/Illness - Left Knee; Injury Management,Philadelphia 76ers,PHI@TOR,10/25/2024
"George, Paul",Out,Injury/Illness - Left Knee; Bone Bruise,Philadelphia 76ers,PHI@TOR,10/25/2024
"Martin, Caleb",Probable,Injury/Illness - Right Calf; Contusion,Philadelphia 76ers,PHI@TOR,10/25/2024
"Barrett, RJ",Doubtful,Injury/Illness - Right Shoulder; AC Joint; Sprain,Toronto Raptors,PHI@TOR,10/25/2024
"Brown, Bruce",Out,Injury/Illness - Right Knee; Arthroscopic Surgical Procedure,Toronto Raptors,PHI@TOR,10/25/2024
"Olynyk, Kelly",Out,Injury/Illness - Back; Lumbar; Strain,Toronto Raptors,PHI@TOR,10/25/2024
"Quickley, Immanuel",Doubtful,Injury/Illness - Right Pelvic; Contusion,Toronto Raptors,PHI@TOR,10/25/2024
"Walter, Ja'Kobe",Out,Injury/Illness - Right Shoulder; AC Joint; Sprain,Toronto Raptors,PHI@TOR,10/25/2024
"Green, Josh",Questionable,Injury/Illness - Left Achilles; Soreness,Charlotte Hornets,CHA@ATL,10/25/2024
"Jeffries, DaQuan",Out,Injury/Illness - Right Hand; Fracture,Charlotte Hornets,CHA@ATL,10/25/2024
"Miller, Brandon",Out,Injury/Illness - Left Glute; Strain,Charlotte Hornets,CHA@ATL,10/25/2024
"Salaun, Tidjane",Questionable,Injury/Illness - Left Finger; Sprain,Charlotte Hornets,CHA@ATL,10/25/2024
"Williams, Mark",Out,Injury/Illness - Left Foot; Tendon Strain,Charlotte Hornets,CHA@ATL,10/25/2024
"Barlow, Dominick",Out,Injury/Illness - Low Back; Contusion,Atlanta Hawks,CHA@ATL,10/25/2024
"Bogdanovic, Bogdan",Out,Injury/Illness - Right Hamstring; Tendinopathy,Atlanta Hawks,CHA@ATL,10/25/2024
"Bufkin, Kobe",Out,Injury/Illness - Right Shoulder; Subluxation,Atlanta Hawks,CHA@ATL,10/25/2024
"Lundy, Seth",Out,Injury/Illness - Left Ankle; Sprain,Atlanta Hawks,CHA@ATL,10/25/2024
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,CHA@ATL,10/25/2024
"Klintman, Bobi",Out,Injury/Illness - Right Calf; Contusion,Detroit Pistons,DET@CLE,10/25/2024
"Thompson, Ausar",Out,Return to Competition Reconditioning,Detroit Pistons,DET@CLE,10/25/2024
"Bates, Emoni",Out,G League - Two-Way,Cleveland Cavaliers,DET@CLE,10/25/2024
"Strus, Max",Out,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,DET@CLE,10/25/2024
"Thor, JT",Out,G League - Two-Way,Cleveland Cavaliers,DET@CLE,10/25/2024
"Travers, Luke",Out,G League - Two-Way,Cleveland Cavaliers,DET@CLE,10/25/2024
"Jackson, Isaiah",Questionable,Injury/Illness - Right Groin; Strain,Indiana Pacers,IND@NYK,10/25/2024
"Newton, Tristen",Questionable,G League - Two-Way,Indiana Pacers,IND@NYK,10/25/2024
"Wiseman, James",Out,Injury/Illness - Left Achilles Tendon; Tear,Indiana Pacers,IND@NYK,10/25/2024
"Achiuwa, Precious",Out,Injury/Illness - Left Hamstring; Strained,New York Knicks,IND@NYK,10/25/2024
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,IND@NYK,10/25/2024
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,IND@NYK,10/25/2024
"Ball, Lonzo",Out,Injury/Illness - Left Knee; Surgery; Injury Management,Chicago Bulls,CHI@MIL,10/25/2024
"Liddell, E.J.",Questionable,G League - Two-Way,Chicago Bulls,CHI@MIL,10/25/2024
"Sanogo, Adama",Questionable,G League - Two-Way,Chicago Bulls,CHI@MIL,10/25/2024
"Steward, DJ",Questionable,G League - Two-Way,Chicago Bulls,CHI@MIL,10/25/2024
"Terry, Dalen",Available,Injury/Illness - Left Patella Tendon; Tendonitis,Chicago Bulls,CHI@MIL,10/25/2024
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinitis,Milwaukee Bucks,CHI@MIL,10/25/2024
"Lopez, Brook",Probable,Injury/Illness - Right Quad; Contusion,Milwaukee Bucks,CHI@MIL,10/25/2024
"Middleton, Khris",Out,Injury/Illness - Bilateral Ankle; Surgery,Milwaukee Bucks,CHI@MIL,10/25/2024
"Trent Jr., Gary",Questionable,Injury/Illness - Right Calf; Contusion,Milwaukee Bucks,CHI@MIL,10/25/2024
"Jackson Jr., Jaren",Doubtful,Injury/Illness - Left Hamstring; Strain,Memphis Grizzlies,MEM@HOU,10/25/2024
"Jackson, GG",Out,Injury/Illness - Right Fifth Metatarsal;,Memphis Grizzlies,MEM@HOU,10/25/2024
"Kennard, Luke",Out,Injury/Illness - Left Foot; Muscle Strain,Memphis Grizzlies,MEM@HOU,10/25/2024
"Spencer, Cam",Out,Injury/Illness - Right Ankle; Sprain,Memphis Grizzlies,MEM@HOU,10/25/2024
"Williams Jr., Vince",Out,Injury/Illness - Left Tibial; Stress Reaction,Memphis Grizzlies,MEM@HOU,10/25/2024
"Adams, Steven",Out,Injury/Illness - Right Knee; Injury Recovery; Left Calf Strain,Houston Rockets,MEM@HOU,10/25/2024
"Brooks, Dillon",Probable,Injury/Illness - Right Anterior Knee; Pain,Houston Rockets,MEM@HOU,10/25/2024
"Whitmore, Cam",Probable,Injury/Illness - Left Knee; Pain,Houston Rockets,MEM@HOU,10/25/2024
"Beekman, Reece",Out,G League - Two-Way,Golden State Warriors,GSW@UTA,10/25/2024
"Curry, Stephen",Available,Injury/Illness - Right Hip; Contusion,Golden State Warriors,GSW@UTA,10/25/2024
"Green, Draymond",Available,Injury/Illness - Left Knee; Contusion,Golden State Warriors,GSW@UTA,10/25/2024
"Melton, De'Anthony",Probable,Injury/Illness - Right Chest; Contusion,Golden State Warriors,GSW@UTA,10/25/2024
"Podziemski, Brandin",Available,Injury/Illness - N/a; Facemask,Golden State Warriors,GSW@UTA,10/25/2024
"Post, Quinten",Out,G League - Two-Way,Golden State Warriors,GSW@UTA,10/25/2024
"Spencer, Pat",Out,G League - Two-Way,Golden State Warriors,GSW@UTA,10/25/2024
"Collier, Isaiah",Out,Injury/Illness - Right Hamstring; Strain,Utah Jazz,GSW@UTA,10/25/2024
"Juzang, Johnny",Out,Injury/Illness - Right Thumb; Sprain,Utah Jazz,GSW@UTA,10/25/2024
"Potter, Micah",Questionable,G League - Two-Way,Utah Jazz,GSW@UTA,10/25/2024
"Preston, Jason",Questionable,G League - Two-Way,Utah Jazz,GSW@UTA,10/25/2024
"Tshiebwe, Oscar",Questionable,G League - Two-Way,Utah Jazz,GSW@UTA,10/25/2024
"Boston Jr., Brandon",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/25/2024
"Cain, Jamal",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/25/2024
"Jemison, Trey",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/25/2024
"Murphy III, Trey",Out,Injury/Illness - Right Hamstring; Strain,New Orleans Pelicans,NOP@POR,10/25/2024
"Murray, Dejounte",Out,Injury/Illness - Left Hand; Fracture,New Orleans Pelicans,NOP@POR,10/25/2024
"McGowens, Bryce",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/25/2024
"Minaya, Justin",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/25/2024
"Moore, Taze",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/25/2024
"Sharpe, Shaedon",Out,Injury/Illness - Left Shoulder; Labral Tear,Portland Trail Blazers,NOP@POR,10/25/2024
"Thybulle, Matisse",Out,Injury/Illness - Right Knee; Inflammation,Portland Trail Blazers,NOP@POR,10/25/2024
"Williams III, Robert",Out,Injury/Illness - Left Hamstring; Strain,Portland Trail Blazers,NOP@POR,10/25/2024
"Allen, Grayson",Probable,Injury/Illness - Right Achilles; Soreness,Phoenix Suns,PHX@LAL,10/25/2024
"Beal, Bradley",Probable,Injury/Illness - Right Shoulder; Soreness,Phoenix Suns,PHX@LAL,10/25/2024
"Okogie, Josh",Out,Injury/Illness - Right Hamstring; Strain,Phoenix Suns,PHX@LAL,10/25/2024
"Hayes, Jaxson",Probable,Injury/Illness - Left Foot; Soreness,Los Angeles Lakers,PHX@LAL,10/25/2024
"Hood-Schifino, Jalen",Out,Injury/Illness - Illness; N/A,Los Angeles Lakers,PHX@LAL,10/25/2024
"Koloko, Christian",Out,Return to Competition Reconditioning,Los Angeles Lakers,PHX@LAL,10/25/2024
"Olivari, Quincy",Out,G League - Two-Way,Los Angeles Lakers,PHX@LAL,10/25/2024
"Traore, Armel",Out,G League - Two-Way,Los Angeles Lakers,PHX@LAL,10/25/2024
"Vanderbilt, Jarred",Out,Injury/Illness - Right Foot; Surgery Recovery,Los Angeles Lakers,PHX@LAL,10/25/2024
"Wood, Christian",Out,Injury/Illness - Right Knee; Surgery Recovery,Los Angeles Lakers,PHX@LAL,10/25/2024
"Bamba, Mo",Out,Injury/Illness - Left Knee; Soreness,LA Clippers,LAC@DEN,10/26/2024
"Christie, Cam",Out,G League - On Assignment,LA Clippers,LAC@DEN,10/26/2024
"Flowers, Trentyn",Out,G League - Two-Way,LA Clippers,LAC@DEN,10/26/2024
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; Injury Recovery,LA Clippers,LAC@DEN,10/26/2024
"Tucker, P.J.",Out,Not With Team,LA Clippers,LAC@DEN,10/26/2024
"Holmes II, DaRon",Out,Injury/Illness - Right Achilles Tendon; Repair,Denver Nuggets,LAC@DEN,10/26/2024
"Hauser, Sam",Out,Injury/Illness - Low Back; Pain,Boston Celtics,BOS@DET,10/26/2024
"Porzingis, Kristaps",Out,Injury/Illness - Left Posterior Tibialis Tendon; Surgery Rehabilitation,Boston Celtics,BOS@DET,10/26/2024
"Klintman, Bobi",Out,Injury/Illness - Right Calf; Contusion,Detroit Pistons,BOS@DET,10/26/2024
"Thompson, Ausar",Out,Return to Competition Reconditioning,Detroit Pistons,BOS@DET,10/26/2024
"Bates, Emoni",Out,G League - Two-Way,Cleveland Cavaliers,CLE@WAS,10/26/2024
"Strus, Max",Out,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,CLE@WAS,10/26/2024
"Thor, JT",Out,G League - Two-Way,Cleveland Cavaliers,CLE@WAS,10/26/2024
"Travers, Luke",Out,G League - Two-Way,Cleveland Cavaliers,CLE@WAS,10/26/2024
"Bey, Saddiq",Out,Injury/Illness - Left Knee; ACL surgery,Washington Wizards,CLE@WAS,10/26/2024
"Brogdon, Malcolm",Out,Injury/Illness - Right Hand; Thumb surgery,Washington Wizards,CLE@WAS,10/26/2024
"Carrington, Carlton",Available,-,Washington Wizards,CLE@WAS,10/26/2024
"Christopher, Josh",Available,Injury/Illness - Right Big Toe; Contusion,Miami Heat,MIA@CHA,10/26/2024
"Love, Kevin",Out,Personal Reasons,Miami Heat,MIA@CHA,10/26/2024
"Richardson, Josh",Questionable,Injury/Illness - Left Heel; Enthesopathy,Miami Heat,MIA@CHA,10/26/2024
"Ware, Kel'el",Out,Injury/Illness - Stomach; Illness,Miami Heat,MIA@CHA,10/26/2024
"Ball, LaMelo",Questionable,Injury/Illness - Tailbone; Contusion,Charlotte Hornets,MIA@CHA,10/26/2024
"Curry, Seth",Questionable,Injury/Illness - Left Knee; Soreness,Charlotte Hornets,MIA@CHA,10/26/2024
"Green, Josh",Out,Injury/Illness - Left Achilles; Injury Management,Charlotte Hornets,MIA@CHA,10/26/2024
"Jeffries, DaQuan",Out,Injury/Illness - Right Hand; Fracture,Charlotte Hornets,MIA@CHA,10/26/2024
"Martin, Cody",Questionable,Injury/Illness - Core; Tightness,Charlotte Hornets,MIA@CHA,10/26/2024
"Miller, Brandon",Out,Injury/Illness - Left Glute; Strain,Charlotte Hornets,MIA@CHA,10/26/2024
"Williams, Mark",Out,Injury/Illness - Left Foot; Tendon Strain,Charlotte Hornets,MIA@CHA,10/26/2024
"Hartenstein, Isaiah",Out,Injury/Illness - Left Hand; Fracture,Oklahoma City Thunder,OKC@CHI,10/26/2024
"Topic, Nikola",Out,Injury/Illness - Left Knee; Surgery,Oklahoma City Thunder,OKC@CHI,10/26/2024
"Williams, Jaylin",Out,Injury/Illness - Right Hamstring; Strain,Oklahoma City Thunder,OKC@CHI,10/26/2024
"Williams, Kenrich",Out,Injury/Illness - Right Knee; Surgery,Oklahoma City Thunder,OKC@CHI,10/26/2024
"Ball, Lonzo",Available,Injury/Illness - Left Knee; Surgery; Injury Management,Chicago Bulls,OKC@CHI,10/26/2024
"Liddell, E.J.",Questionable,G League - Two-Way,Chicago Bulls,OKC@CHI,10/26/2024
"Sanogo, Adama",Questionable,G League - Two-Way,Chicago Bulls,OKC@CHI,10/26/2024
"Steward, DJ",Questionable,G League - Two-Way,Chicago Bulls,OKC@CHI,10/26/2024
"Terry, Dalen",Available,Injury/Illness - Left Patella Tendon; Tendonitis,Chicago Bulls,OKC@CHI,10/26/2024
"Isaac, Jonathan",Questionable,Injury/Illness - Left Hip; Contusion,Orlando Magic,ORL@MEM,10/26/2024
"McClung, Mac",Questionable,G League - Two-Way,Orlando Magic,ORL@MEM,10/26/2024
"Queen, Trevelin",Questionable,G League - Two-Way,Orlando Magic,ORL@MEM,10/26/2024
"Jackson Jr., Jaren",Questionable,Injury/Illness - Left Hamstring; Strain,Memphis Grizzlies,ORL@MEM,10/26/2024
"Jackson, GG",Out,Injury/Illness - Right Fifth Metatarsal; Repair,Memphis Grizzlies,ORL@MEM,10/26/2024
"Kennard, Luke",Out,Injury/Illness - Left Foot; Muscle Strain,Memphis Grizzlies,ORL@MEM,10/26/2024
"Konchar, John",Doubtful,Injury/Illness - Right Foot; Soreness,Memphis Grizzlies,ORL@MEM,10/26/2024
"Morant, Ja",Questionable,Injury/Illness - Right Thigh; Soreness,Memphis Grizzlies,ORL@MEM,10/26/2024
"Spencer, Cam",Out,Injury/Illness - Right Ankle; Sprain,Memphis Grizzlies,ORL@MEM,10/26/2024
"Williams Jr., Vince",Out,Injury/Illness - Left Tibial; Stress Reaction,Memphis Grizzlies,ORL@MEM,10/26/2024
"Barrett, RJ",Questionable,Joint; Sprain,Toronto Raptors,TOR@MIN,10/26/2024
"Brown, Bruce",Out,Injury/Illness - Right Knee; Arthroscopic Surgical Procedure,Toronto Raptors,TOR@MIN,10/26/2024
"Olynyk, Kelly",Out,Injury/Illness - Back; Lumbar; Strain,Toronto Raptors,TOR@MIN,10/26/2024
"Quickley, Immanuel",Out,Injury/Illness - Right Pelvic; Contusion,Toronto Raptors,TOR@MIN,10/26/2024
"Walter, Ja'Kobe",Out,Injury/Illness - Right Shoulder; AC Joint; Sprain,Toronto Raptors,TOR@MIN,10/26/2024
"Adams, Steven",Questionable,Injury/Illness - Right Knee; Injury Recovery; Left Calf Strain,Houston Rockets,HOU@SAS,10/26/2024
"Eason, Tari",Questionable,Injury/Illness - Left Lower Leg; Injury Management,Houston Rockets,HOU@SAS,10/26/2024
"Jones, Tre",Out,Injury/Illness - Right Ankle; Sprain,San Antonio Spurs,HOU@SAS,10/26/2024
"Vassell, Devin",Out,Injury/Illness - Right Third Metatarsal Head; Stress Reaction Surgery,San Antonio Spurs,HOU@SAS,10/26/2024
"Edwards, Kessler",Out,G League - Two-Way,Dallas Mavericks,DAL@PHX,10/26/2024
"Exum, Dante",Out,Injury/Illness - Right Wrist; Surgery,Dallas Mavericks,DAL@PHX,10/26/2024
"Williams, Brandon",Out,G League - Two-Way,Dallas Mavericks,DAL@PHX,10/26/2024
"Carter, Devin",Out,Injury/Illness - Left Shoulder; Surgery,Sacramento Kings,SAC@LAL,10/26/2024
"Robinson, Orlando",Out,Injury/Illness - Left MCL; Sprain,Sacramento Kings,SAC@LAL,10/26/2024
"Embiid, Joel",Out,Injury/Illness - Left Knee; Injury Management,Philadelphia 76ers,PHI@IND,10/27/2024
"George, Paul",Out,Injury/Illness - Left Knee; Bone Bruise,Philadelphia 76ers,PHI@IND,10/27/2024
"Newton, Tristen",Questionable,G League - Two-Way,Indiana Pacers,PHI@IND,10/27/2024
"Wiseman, James",Out,Injury/Illness - Left Achilles Tendon; Tear,Indiana Pacers,PHI@IND,10/27/2024
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinitis,Milwaukee Bucks,MIL@BKN,10/27/2024
"Green, AJ",Probable,Injury/Illness - Right Great Toe; Sprain,Milwaukee Bucks,MIL@BKN,10/27/2024
"Middleton, Khris",Out,Injury/Illness - Bilateral Ankle; Surgery,Milwaukee Bucks,MIL@BKN,10/27/2024
"Bogdanovic, Bojan",Out,Injury/Illness - Left Foot; Injury Recovery,Brooklyn Nets,MIL@BKN,10/27/2024
"Sharpe, Day'Ron",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,MIL@BKN,10/27/2024
"Watford, Trendon",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,MIL@BKN,10/27/2024
"Boston Jr., Brandon",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/27/2024
"Cain, Jamal",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/27/2024
"Jemison, Trey",Out,G League - Two-Way,New Orleans Pelicans,NOP@POR,10/27/2024
"Murphy III, Trey",Out,Injury/Illness - Right Hamstring;,New Orleans Pelicans,NOP@POR,10/27/2024
"Murray, Dejounte",Out,Injury/Illness - Left Hand; Fracture,New Orleans Pelicans,NOP@POR,10/27/2024
"McGowens, Bryce",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/27/2024
"Minaya, Justin",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/27/2024
"Moore, Taze",Questionable,G League - Two-Way,Portland Trail Blazers,NOP@POR,10/27/2024
"Sharpe, Shaedon",Out,Injury/Illness - Left Shoulder; Labral Tear,Portland Trail Blazers,NOP@POR,10/27/2024
"Thybulle, Matisse",Out,Injury/Illness - Right Knee; Inflammation,Portland Trail Blazers,NOP@POR,10/27/2024
"Williams III, Robert",Out,Injury/Illness - Left Hamstring; Strain,Portland Trail Blazers,NOP@POR,10/27/2024
"Barlow, Dominick",Out,Not With Team,Atlanta Hawks,ATL@OKC,10/27/2024
"Bogdanovic, Bogdan",Out,Injury/Illness - Right Hamstring; Tendinopathy,Atlanta Hawks,ATL@OKC,10/27/2024
