PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Boucher, Chris",Questionable,Injury/Illness - Left Finger; Dislocation - middle,Toronto Raptors,WAS@TOR,10/20/2021
"Siakam, Pascal",Out,Injury/Illness - Left Shoulder; Injury recovery,Toronto Raptors,WAS@TOR,10/20/2021
"Watanabe, Yuta",Out,Injury/Illness - Left Calf; Strain,Toronto Raptors,WAS@TOR,10/20/2021
"Bryant, Thomas",Out,Injury/Illness - Left Knee; Injury recovery,Washington Wizards,WAS@TOR,10/20/2021
"Hachimura, Rui",Out,Not With Team,Washington Wizards,WAS@TOR,10/20/2021
"Winston, Cassius",Out,Injury/Illness - Left Hamstring; Left Hamstring strain,Washington Wizards,WAS@TOR,10/20/2021
"Wade, Dean",Doubtful,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,CLE@MEM,10/20/2021
"Windler, Dylan",Out,Injury/Illness - Right Hip; Strain,Cleveland Cavaliers,CLE@MEM,10/20/2021
"Brooks, Dillon",Out,Injury/Illness - Left Hand; Fracture Recovery,Memphis Grizzlies,CLE@MEM,10/20/2021
"House Jr., Danuel",Questionable,Personal Reasons,Houston Rockets,HOU@MIN,10/20/2021
"Mathews, Garrison",Out,Not With Team,Houston Rockets,HOU@MIN,10/20/2021
"Beverley, Patrick",Out,League Suspension,Minnesota Timberwolves,HOU@MIN,10/20/2021
"McLaughlin, Jordan",Questionable,Injury/Illness - Right Groin; Strain,Minnesota Timberwolves,HOU@MIN,10/20/2021
"Nowell, Jaylen",Questionable,Injury/Illness - Back; Spasms,Minnesota Timberwolves,HOU@MIN,10/20/2021
"Satoransky, Tomas",Questionable,Injury/Illness - GI; Illness,New Orleans Pelicans,PHI@NOP,10/20/2021
"Williamson, Zion",Out,Injury/Illness - Right Foot; Fracture,New Orleans Pelicans,PHI@NOP,10/20/2021
"Milton, Shake",Out,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,PHI@NOP,10/20/2021
"Riller, Grant",Out,Injury/Illness - Left Knee; Injury recovery,Philadelphia 76ers,PHI@NOP,10/20/2021
"Simmons, Ben",Out,Team Suspension,Philadelphia 76ers,PHI@NOP,10/20/2021
"Carter-Williams, Michael",Out,Injury/Illness - Left Ankle; Injury Recovery,Orlando Magic,ORL@SAS,10/20/2021
"Fultz, Markelle",Out,Injury/Illness - Left Knee; Injury Recovery,Orlando Magic,ORL@SAS,10/20/2021
"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury Recovery,Orlando Magic,ORL@SAS,10/20/2021
"Moore, E'Twaun",Out,Injury/Illness - Left Knee; Sprain,Orlando Magic,ORL@SAS,10/20/2021
"Okeke, Chuma",Out,Injury/Illness - Right Hip; Bone Bruise,Orlando Magic,ORL@SAS,10/20/2021
"Cacok, Devontae",Out,Not With Team,San Antonio Spurs,ORL@SAS,10/20/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,ORL@SAS,10/20/2021
"Landale, Jock",Available,"Injury/Illness - "" ""; Concussion Protocol",San Antonio Spurs,ORL@SAS,10/20/2021
"Forrest, Trent",Out,Injury/Illness - N/A; Concussion protocol,Utah Jazz,OKC@UTA,10/20/2021
"Gay, Rudy",Out,Injury/Illness - Right Heel; Injury recovery,Utah Jazz,OKC@UTA,10/20/2021
"Paschall, Eric",Probable,Injury/Illness - Right Finger; Index finger dislocated,Utah Jazz,OKC@UTA,10/20/2021
"Cancar, Vlatko",Probable,Injury/Illness - Left Hip; Strain,Denver Nuggets,DEN@PHX,10/20/2021
"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery,Denver Nuggets,DEN@PHX,10/20/2021
"Saric, Dario",Out,Injury/Illness - Right Acl; Tear,Phoenix Suns,DEN@PHX,10/20/2021
"Snell, Tony",Out,Injury/Illness - Right Foot; Sprain,Portland Trail Blazers,SAC@POR,10/20/2021
"Gallinari, Danilo",Questionable,Injury/Illness - Left Shoulder; Soreness,Atlanta Hawks,DAL@ATL,10/21/2021
"Johnson, Jalen",Probable,Injury/Illness - Right Ankle; Soreness,Atlanta Hawks,DAL@ATL,10/21/2021
"Okongwu, Onyeka",Out,Injury/Illness - Right Shoulder; Injury Recovery,Atlanta Hawks,DAL@ATL,10/21/2021
"Williams, Lou",Questionable,Injury/Illness - Left Hip; Soreness,Atlanta Hawks,DAL@ATL,10/21/2021
"McLaughlin, JaQuori",Out,G League - Two-Way,Dallas Mavericks,DAL@ATL,10/21/2021
"Omoruyi, Eugene",Out,G League - Two-Way,Dallas Mavericks,DAL@ATL,10/21/2021
"Oladipo, Victor",Out,Injury/Illness - Right Knee; Injury Recovery,Miami Heat,MIL@MIA,10/21/2021
"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Injury recovery,Milwaukee Bucks,MIL@MIA,10/21/2021
"Holiday, Jrue",Out,Injury/Illness - Right Heel; Contusion,Milwaukee Bucks,MIL@MIA,10/21/2021
"Hood, Rodney",Out,Injury/Illness - Right Foot; Soreness,Milwaukee Bucks,MIL@MIA,10/21/2021
"Lopez, Brook",Out,Injury/Illness - Back; Soreness,Milwaukee Bucks,MIL@MIA,10/21/2021
"Ojeleye, Semi",Out,Injury/Illness - Left Calf; Strain,Milwaukee Bucks,MIL@MIA,10/21/2021
"Portis, Bobby",Out,Injury/Illness - Left Hamstring; Strain,Milwaukee Bucks,MIL@MIA,10/21/2021
"Kuminga, Jonathan",Out,Injury/Illness - Right Knee; Patellar Tendon Strain,Golden State Warriors,LAC@GSW,10/21/2021
"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Injury Recovery,Golden State Warriors,LAC@GSW,10/21/2021
"Wiseman, James",Out,Injury/Illness - Right Knee; Injury Recovery,Golden State Warriors,LAC@GSW,10/21/2021
"Batum, Nicolas",Out,Personal Reasons,LA Clippers,LAC@GSW,10/21/2021
"Ibaka, Serge",Out,Injury/Illness - Low Back; Injury Recovery,LA Clippers,LAC@GSW,10/21/2021
"Johnson, Keon",Out,Injury/Illness - Illness; N/A,LA Clippers,LAC@GSW,10/21/2021
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; ACL - Injury Recovery,LA Clippers,LAC@GSW,10/21/2021
"Preston, Jason",Out,Injury/Illness - Right Foot; Injury Recovery,LA Clippers,LAC@GSW,10/21/2021
"Rozier, Terry",Questionable,Injury/Illness - Left Ankle; Sprain,Charlotte Hornets,CHA@CLE,10/22/2021
"Garland, Darius",Questionable,Injury/Illness - Left Ankle; Sprain,Cleveland Cavaliers,CHA@CLE,10/22/2021
"Wade, Dean",Probable,Injury/Illness - Right Ankle; Sprain,Cleveland Cavaliers,CHA@CLE,10/22/2021
"Windler, Dylan",Out,Injury/Illness - Right Hip; Strain,Cleveland Cavaliers,CHA@CLE,10/22/2021
"Craig, Torrey",Questionable,Injury/Illness - Left Shoulder; Sore,Indiana Pacers,IND@WAS,10/22/2021
"Holiday, Justin",Questionable,Injury/Illness - Left Ankle; Sprain,Indiana Pacers,IND@WAS,10/22/2021
"Lamb, Jeremy",Questionable,Injury/Illness - Right Wrist; Sore,Indiana Pacers,IND@WAS,10/22/2021
"LeVert, Caris",Out,Injury/Illness - Back; Sore Lower,Indiana Pacers,IND@WAS,10/22/2021
"Martin, Kelan",Out,Injury/Illness - Left Hamstring; Strain,Indiana Pacers,IND@WAS,10/22/2021
"Warren, T.J.",Out,Injury/Illness - Left Navicular; Fractured,Indiana Pacers,IND@WAS,10/22/2021
"Beal, Bradley",Questionable,Injury/Illness - Right Hip; Right hip contusion,Washington Wizards,IND@WAS,10/22/2021
"Bryant, Thomas",Out,Injury/Illness - Left Knee; Injury recovery,Washington Wizards,IND@WAS,10/22/2021
"Gill, Anthony",Questionable,Injury/Illness - Right Calf; Right calf strain,Washington Wizards,IND@WAS,10/22/2021
"Hachimura, Rui",Out,Not With Team,Washington Wizards,IND@WAS,10/22/2021
"Winston, Cassius",Out,Injury/Illness - Left Hamstring; Left hamstring strain,Washington Wizards,IND@WAS,10/22/2021
"Gibson, Taj",Out,Personal Reasons,New York Knicks,NYK@ORL,10/22/2021
"Noel, Nerlens",Out,Injury/Illness - Left Knee; sore,New York Knicks,NYK@ORL,10/22/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,NYK@ORL,10/22/2021
"Carter-Williams, Michael",Out,Injury/Illness - Left Ankle; Injury recovery,Orlando Magic,NYK@ORL,10/22/2021
"Fultz, Markelle",Out,Injury/Illness - Left Knee; Injury recovery,Orlando Magic,NYK@ORL,10/22/2021
"Harris, Gary",Out,Injury/Illness - Right Hamstring; Injury Maintenance,Orlando Magic,NYK@ORL,10/22/2021
"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury recovery,Orlando Magic,NYK@ORL,10/22/2021
"Moore, E'Twaun",Out,Injury/Illness - Left Knee; Sprained,Orlando Magic,NYK@ORL,10/22/2021
"Okeke, Chuma",Out,Injury/Illness - Right Hip; Bone bruise,Orlando Magic,NYK@ORL,10/22/2021
"Irving, Kyrie",Out,Not With Team,Brooklyn Nets,BKN@PHI,10/22/2021
"Embiid, Joel",Questionable,Injury/Illness - Right Knee; Soreness,Philadelphia 76ers,BKN@PHI,10/22/2021
"Milton, Shake",Out,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,BKN@PHI,10/22/2021
"Riller, Grant",Out,Injury/Illness - Left Knee; Injury recovery,Philadelphia 76ers,BKN@PHI,10/22/2021
"Simmons, Ben",Out,Personal Reasons,Philadelphia 76ers,BKN@PHI,10/22/2021
"Horford, Al",Questionable,Return to Competition Reconditioning,Boston Celtics,TOR@BOS,10/22/2021
"Pritchard, Payton",Available,Injury/Illness - Nasal Fracture; Face Mask,Boston Celtics,TOR@BOS,10/22/2021
"Richardson, Josh",Probable,Injury/Illness - Migraine; Migraine,Boston Celtics,TOR@BOS,10/22/2021
"Smart, Marcus",Probable,Injury/Illness - Right Knee; Effusion,Boston Celtics,TOR@BOS,10/22/2021
"Siakam, Pascal",Out,Injury/Illness - Left Shoulder; Injury recovery,Toronto Raptors,TOR@BOS,10/22/2021
"Watanabe, Yuta",Out,Injury/Illness - Left Calf; Strain,Toronto Raptors,TOR@BOS,10/22/2021
"White, Coby",Out,Injury/Illness - Left Shoulder; Injury Management,Chicago Bulls,NOP@CHI,10/22/2021
"Williams, Patrick",Available,-,Chicago Bulls,NOP@CHI,10/22/2021
"Hart, Josh",Out,Injury/Illness - Right Quadriceps; Tendinosis,New Orleans Pelicans,NOP@CHI,10/22/2021
"Williamson, Zion",Out,Injury/Illness - Right Foot; Fracture,New Orleans Pelicans,NOP@CHI,10/22/2021
"Mathews, Garrison",Out,Not With Team,Houston Rockets,OKC@HOU,10/22/2021
"Cancar, Vlatko",Probable,Injury/Illness - Left Hip; Strain,Denver Nuggets,SAS@DEN,10/22/2021
"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery,Denver Nuggets,SAS@DEN,10/22/2021
"Cacok, Devontae",Out,Not With Team,San Antonio Spurs,SAS@DEN,10/22/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,SAS@DEN,10/22/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,PHX@LAL,10/22/2021
"Doumbouya, Sekou",Questionable,Injury/Illness - Stomach; Illness,Los Angeles Lakers,PHX@LAL,10/22/2021
"Ellington, Wayne",Out,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,PHX@LAL,10/22/2021
"Horton-Tucker, Talen",Out,Injury/Illness - Right Thumb; Injury recovery,Los Angeles Lakers,PHX@LAL,10/22/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,PHX@LAL,10/22/2021
"Saric, Dario",Out,Injury/Illness - Right Acl; Tear,Phoenix Suns,PHX@LAL,10/22/2021
"Shamet, Landry",Probable,Injury/Illness - Right Foot; Soreness,Phoenix Suns,PHX@LAL,10/22/2021
"Harkless, Maurice",Questionable,Injury/Illness - Left Hip; Soreness,Sacramento Kings,UTA@SAC,10/22/2021
"Gay, Rudy",Out,Injury/Illness - Right Heel; Injury Recovery,Utah Jazz,UTA@SAC,10/22/2021
"Gallinari, Danilo",Questionable,Injury/Illness - Left Shoulder; Soreness,Atlanta Hawks,ATL@CLE,10/23/2021
"Okongwu, Onyeka",Out,Injury/Illness - Right Shoulder; Injury Recovery,Atlanta Hawks,ATL@CLE,10/23/2021
"Garland, Darius",Out,Injury/Illness - Left Ankle; Sprain,Cleveland Cavaliers,ATL@CLE,10/23/2021
"Windler, Dylan",Out,Injury/Illness - Right Hip; Strain,Cleveland Cavaliers,ATL@CLE,10/23/2021
"Craig, Torrey",Questionable,Injury/Illness - Left Shoulder; Sore,Indiana Pacers,MIA@IND,10/23/2021
"Holiday, Justin",Questionable,Injury/Illness - Left Ankle; Sprain,Indiana Pacers,MIA@IND,10/23/2021
"Lamb, Jeremy",Questionable,Injury/Illness - Right Wrist; Sore,Indiana Pacers,MIA@IND,10/23/2021
"LeVert, Caris",Out,Injury/Illness - Back; Sore Lower,Indiana Pacers,MIA@IND,10/23/2021
"Martin, Kelan",Out,Injury/Illness - Left Hamstring; Strain,Indiana Pacers,MIA@IND,10/23/2021
"Warren, T.J.",Out,Injury/Illness - Left Navicular; Fracture,Indiana Pacers,MIA@IND,10/23/2021
"Dedmon, Dewayne",Questionable,Injury/Illness - Right Ankle; Sprain,Miami Heat,MIA@IND,10/23/2021
"Lowry, Kyle",Questionable,Injury/Illness - Left Ankle; Sprain,Miami Heat,MIA@IND,10/23/2021
"Oladipo, Victor",Out,Injury/Illness - Right Knee; Injury Recovery,Miami Heat,MIA@IND,10/23/2021
"McLaughlin, JaQuori",Out,G League - Two-Way,Dallas Mavericks,DAL@TOR,10/23/2021
"Omoruyi, Eugene",Out,G League - Two-Way,Dallas Mavericks,DAL@TOR,10/23/2021
"Siakam, Pascal",Out,Injury/Illness - Left Shoulder; Injury recovery,Toronto Raptors,DAL@TOR,10/23/2021
"Watanabe, Yuta",Out,Injury/Illness - Left Calf; Strain,Toronto Raptors,DAL@TOR,10/23/2021
"White, Coby",Out,Injury/Illness - Left Shoulder; Injury Management,Chicago Bulls,DET@CHI,10/23/2021
"Cunningham, Cade",Out,Injury/Illness - Right Ankle; Sprain,Detroit Pistons,DET@CHI,10/23/2021
"Livers, Isaiah",Out,Injury/Illness - Right Foot; Injury recovery,Detroit Pistons,DET@CHI,10/23/2021
"Smith, Chris",Out,Injury/Illness - Left Knee; Injury recovery,Detroit Pistons,DET@CHI,10/23/2021
"Hart, Josh",Doubtful,Injury/Illness - Right Quadriceps; Tendinosis,New Orleans Pelicans,NOP@MIN,10/23/2021
"Hommes, Daulton",Doubtful,Injury/Illness - Right Peroneal; Soreness,New Orleans Pelicans,NOP@MIN,10/23/2021
"Williamson, Zion",Out,Injury/Illness - Right Foot; Fracture,New Orleans Pelicans,NOP@MIN,10/23/2021
"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Injury recovery,Milwaukee Bucks,MIL@SAS,10/23/2021
"Holiday, Jrue",Probable,Injury/Illness - Right Heel; Contusion,Milwaukee Bucks,MIL@SAS,10/23/2021
"Hood, Rodney",Probable,Injury/Illness - Right Foot; Soreness,Milwaukee Bucks,MIL@SAS,10/23/2021
"Lopez, Brook",Out,Injury/Illness - Back; Soreness,Milwaukee Bucks,MIL@SAS,10/23/2021
"Ojeleye, Semi",Out,Injury/Illness - Left Calf; Strain,Milwaukee Bucks,MIL@SAS,10/23/2021
"Portis, Bobby",Out,Injury/Illness - Left Hamstring; Strain,Milwaukee Bucks,MIL@SAS,10/23/2021
"Cacok, Devontae",Out,Not With Team,San Antonio Spurs,MIL@SAS,10/23/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,MIL@SAS,10/23/2021
"Snell, Tony",Out,Injury/Illness - Right Foot; Sprain,Portland Trail Blazers,PHX@POR,10/23/2021
"Ibaka, Serge",Out,Injury/Illness - Low Back; Injury Recovery,LA Clippers,MEM@LAC,10/23/2021
"Johnson, Keon",Questionable,Injury/Illness - N/a; Illness,LA Clippers,MEM@LAC,10/23/2021
"Leonard, Kawhi",Out,Injury/Illness - Right Knee; ACL - Injury Recovery,LA Clippers,MEM@LAC,10/23/2021
"Preston, Jason",Out,Injury/Illness - Right Foot; Injury Recovery,LA Clippers,MEM@LAC,10/23/2021
"Brooks, Dillon",Out,Injury/Illness - Left Hand; Fracture Recovery,Memphis Grizzlies,MEM@LAC,10/23/2021
"Griffin, Blake",Out,Rest,Brooklyn Nets,CHA@BKN,10/24/2021
"Irving, Kyrie",Out,Ineligible To Play,Brooklyn Nets,CHA@BKN,10/24/2021
"Rozier, Terry",Questionable,Injury/Illness - Right Ankle; Sprain,Charlotte Hornets,CHA@BKN,10/24/2021
"Brown, Jaylen",Questionable,Injury/Illness - Left Patella; Tendinopathy,Boston Celtics,BOS@HOU,10/24/2021
"Hauser, Sam",Out,G League - Two-Way,Boston Celtics,BOS@HOU,10/24/2021
"Pritchard, Payton",Available,Injury/Illness - Nasal Fracture; Face Mask,Boston Celtics,BOS@HOU,10/24/2021
"Thomas, Brodric",Out,G League - Two-Way,Boston Celtics,BOS@HOU,10/24/2021
"Gibson, Taj",Available,Personal Reasons,New York Knicks,ORL@NYK,10/24/2021
"Noel, Nerlens",Doubtful,Injury/Illness - Left Knee; Sore,New York Knicks,ORL@NYK,10/24/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,ORL@NYK,10/24/2021
"Carter-Williams, Michael",Out,Injury/Illness - Left Ankle; Injury Recovery,Orlando Magic,ORL@NYK,10/24/2021
"Fultz, Markelle",Out,Injury/Illness - Left Knee; Injury Recovery,Orlando Magic,ORL@NYK,10/24/2021
"Harris, Gary",Questionable,Injury/Illness - Right Hamstring; Injury Maintenance,Orlando Magic,ORL@NYK,10/24/2021
"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury Recovery,Orlando Magic,ORL@NYK,10/24/2021
"Moore, E'Twaun",Out,Injury/Illness - Left Knee; Sprain,Orlando Magic,ORL@NYK,10/24/2021
"Okeke, Chuma",Out,Injury/Illness - Right Hip; Bone Bruise,Orlando Magic,ORL@NYK,10/24/2021
"Drummond, Andre",Doubtful,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,PHI@OKC,10/24/2021
"Embiid, Joel",Questionable,Injury/Illness - Right Knee; Soreness,Philadelphia 76ers,PHI@OKC,10/24/2021
"Milton, Shake",Out,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,PHI@OKC,10/24/2021
"Riller, Grant",Out,Injury/Illness - Left Knee; Injury Recovery,Philadelphia 76ers,PHI@OKC,10/24/2021
"Simmons, Ben",Out,Personal Reasons,Philadelphia 76ers,PHI@OKC,10/24/2021
"Iguodala, Andre",Questionable,Injury/Illness - Left Hip; Soreness,Golden State Warriors,GSW@SAC,10/24/2021
"Kuminga, Jonathan",Out,Injury/Illness - Right Patellar Tendon; Strain,Golden State Warriors,GSW@SAC,10/24/2021
"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Injury Recovery,Golden State Warriors,GSW@SAC,10/24/2021
"Wiseman, James",Out,Injury/Illness - Right Knee; Injury Recovery,Golden State Warriors,GSW@SAC,10/24/2021
"Harkless, Maurice",Questionable,Injury/Illness - Left Hip; Soreness,Sacramento Kings,GSW@SAC,10/24/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,MEM@LAL,10/24/2021
"Ellington, Wayne",Out,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,MEM@LAL,10/24/2021
"Horton-Tucker, Talen",Out,Injury/Illness - Right Thumb; Injury Recovery,Los Angeles Lakers,MEM@LAL,10/24/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,MEM@LAL,10/24/2021
"Noel, Nerlens",Questionable,Injury/Illness - Left Knee; sore,New York Knicks,PHI@NYK,10/26/2021
"Samanic, Luka",Out,G League - Two-Way,New York Knicks,PHI@NYK,10/26/2021
"Drummond, Andre",Questionable,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,PHI@NYK,10/26/2021
"Embiid, Joel",Questionable,Injury/Illness - Right Knee; Soreness,Philadelphia 76ers,PHI@NYK,10/26/2021
"Henry, Aaron",Out,G League - Two-Way,Philadelphia 76ers,PHI@NYK,10/26/2021
"Milton, Shake",Out,Injury/Illness - Right Ankle; Sprain,Philadelphia 76ers,PHI@NYK,10/26/2021
"Riller, Grant",Out,Injury/Illness - Left Knee; Injury recovery,Philadelphia 76ers,PHI@NYK,10/26/2021
"Simmons, Ben",Out,Personal Reasons,Philadelphia 76ers,PHI@NYK,10/26/2021
"Springer, Jaden",Out,G League - On Assignment,Philadelphia 76ers,PHI@NYK,10/26/2021
"Dowtin, Jeff",Out,G League - Two-Way,Golden State Warriors,GSW@OKC,10/26/2021
"Iguodala, Andre",Probable,Injury/Illness - Left Hip; Soreness,Golden State Warriors,GSW@OKC,10/26/2021
"Kuminga, Jonathan",Out,Injury/Illness - Right Patellar Tendon; Strain,Golden State Warriors,GSW@OKC,10/26/2021
"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Injury Recovery,Golden State Warriors,GSW@OKC,10/26/2021
"Wiseman, James",Out,Injury/Illness - Right Knee; Injury Recovery,Golden State Warriors,GSW@OKC,10/26/2021
"Favors, Derrick",Out,Rest,Oklahoma City Thunder,GSW@OKC,10/26/2021
"Krejci, Vit",Out,G League - On Assignment,Oklahoma City Thunder,GSW@OKC,10/26/2021
"Watson, Paul",Out,G League - Two-Way,Oklahoma City Thunder,GSW@OKC,10/26/2021
"Wiggins, Aaron",Out,G League - Two-Way,Oklahoma City Thunder,GSW@OKC,10/26/2021
"McLaughlin, JaQuori",Out,G League - Two-Way,Dallas Mavericks,HOU@DAL,10/26/2021
"Omoruyi, Eugene",Out,G League - Two-Way,Dallas Mavericks,HOU@DAL,10/26/2021
"Mathews, Garrison",Out,G League - Two-Way,Houston Rockets,HOU@DAL,10/26/2021
"Nix, Daishen",Out,G League - Two-Way,Houston Rockets,HOU@DAL,10/26/2021
"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury recovery,Los Angeles Lakers,LAL@SAS,10/26/2021
"Doumbouya, Sekou",Out,G League - Two-Way,Los Angeles Lakers,LAL@SAS,10/26/2021
"Ellington, Wayne",Questionable,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,LAL@SAS,10/26/2021
"Horton-Tucker, Talen",Out,Injury/Illness - Right Thumb; Injury recovery,Los Angeles Lakers,LAL@SAS,10/26/2021
"Huff, Jay",Out,G League - Two-Way,Los Angeles Lakers,LAL@SAS,10/26/2021
"James, LeBron",Questionable,Injury/Illness - Right Ankle; Soreness,Los Angeles Lakers,LAL@SAS,10/26/2021
"Nunn, Kendrick",Out,Injury/Illness - Right Knee; Bone bruise,Los Angeles Lakers,LAL@SAS,10/26/2021
"Cacok, Devontae",Out,Not With Team,San Antonio Spurs,LAL@SAS,10/26/2021
"Collins, Zach",Out,Injury/Illness - Left Ankle; Stress Fracture,San Antonio Spurs,LAL@SAS,10/26/2021
"Cancar, Vlatko",Out,Injury/Illness - Left Hip; Strain,Denver Nuggets,DEN@UTA,10/26/2021
"Dozier, P.J.",Probable,Injury/Illness - Left Elbow; Sprain,Denver Nuggets,DEN@UTA,10/26/2021
"Murray, Jamal",Out,Injury/Illness - Left Knee; Injury Recovery,Denver Nuggets,DEN@UTA,10/26/2021
"Gay, Rudy",Out,Injury/Illness - Right Heel; Injury recovery,Utah Jazz,DEN@UTA,10/26/2021
"Oni, Miye",Questionable,Injury/Illness - N/A; Non-COVID related illness,Utah Jazz,DEN@UTA,10/26/2021
"Rozier, Terry",Doubtful,Injury/Illness - Right Ankle; Sprain,Charlotte Hornets,CHA@ORL,10/27/2021
"Washington, P.J.",Out,Injury/Illness - Right Knee; Sprain,Charlotte Hornets,CHA@ORL,10/27/2021
"Carter-Williams, Michael",Out,Injury/Illness - Left Ankle; Injury recovery,Orlando Magic,CHA@ORL,10/27/2021
